,X,Y
349,1.3833333330000501,19.9
351,1.4166666670000703,19.85
352,-11.097777778,18.800555556000102
353,-11.0833333329999,18.8666666670001
354,-6.98333333299996,16.283333332999998
356,-13.033333333,23.533333333
357,39.351944444000004,14.833333332999999
358,-12.1999999999999,23.2333333330001
363,30.183333333000103,13.2500000000001
364,24.0500000000001,15.1666666670001
365,24.066666667,15.1666666670001
366,24.7500000000001,13.1
367,24.933333333000103,13.1666666670001
368,24.083333333000002,13.1166666670001
369,23.9833333330001,13.016666667
370,23.583333333000002,13.0000000000001
371,24.033333333,13.016666667
372,38.833333333,17.1666666670001
378,39.327222221999996,14.973333333
381,3.1666666670000696,18.1666666670001
382,2.85000000000002,17.583333333
383,2.35000000000002,18.3666666670001
384,0.85,19.471944444000002
386,-13.666666667000001,18.6
387,-13.233333333,18.6
389,39.199166667,13.2522222220001
390,38.466666667,15.033333333
391,38.5000000000001,17.833333333
395,24.2500000000001,14.9833333330001
399,31.013888889,15.004166667
400,32.0000000000001,15.783333333
401,38.566666667,14.9166666670001
402,38.7966666670001,14.6358333330001
404,40.333333333,12.466666667
407,29.116666667000104,14.45
409,38.733333333000104,15.4166666670001
411,37.591111111,15.1138888890001
414,38.783333333,14.516666667
415,35.333333333,18.683333333000103
418,35.0000000000001,13.0000000000001
419,22.818888889,15.02
425,8.91666666700007,18.583333333
426,9.08333333300004,18.4166666670001
427,9.08333333300004,18.185277778000103
431,37.833333333,12.583333332999999
433,39.522777778000005,12.5058333330001
435,39.559722222000104,12.4152777780001
436,39.6247222220001,14.054444444000099
437,23.8000000000001,15.016666667
438,23.6300000000001,13.131111111000099
439,-11.854722222000001,24.8638888890001
442,38.993888889000104,15.2558333330001
443,38.7463888890001,14.943055556
445,37.466666667,17.7
446,37.3666666670001,18.333333333
447,38.283333333,18.133333333000103
451,38.703333333,15.7488888890001
453,38.6666666670001,14.1666666670001
455,39.475277778000105,13.4966666670001
457,39.638611110999996,14.031388889
458,-12.49,23.165277778000103
460,24.0000000000001,15.0000000000001
461,-10.9999999999999,19.000000000000103
462,-10.9999999999999,18.500000000000103
464,-13.2499999999999,27.116666667000104
465,-15.0833333329999,23.65
469,38.2500000000001,15.4375000000001
471,36.9372222220001,14.5000000000001
472,38.4,17.883333333000103
474,23.6150000000001,12.9
475,4.11666666700006,18.35
476,25.95,7.33333333300004
477,39.1000000000001,15.8000000000001
478,39.283333333,15.766666667
480,-8.16694444399997,27.5925
481,24.1,15.1666666670001
484,6.6666666670000705,18.783333332999998
488,6.61666666700006,18.833333333
490,38.900833333,14.159444444000002
491,39.2500000000001,13.566666667
492,39.583333333,14.333333332999999
494,8.616666667000061,18.583333333
496,42.813888889000104,16.320555556
499,37.95,18.1166666670001
501,39.766666666999996,12.65
502,39.5500000000001,12.9833333330001
505,39.733333333000104,11.083333332999999
507,39.216666667,14.1166666670001
508,4.6666666670000705,18.833333333
510,9.18333333300006,18.533333332999998
511,11.566666667,18.1
512,5.80000000000007,19.3666666670001
515,37.4,16.3000000000001
516,39.0000000000001,12.5000000000001
517,38.766666666999996,11.033333333
518,39.033333333,12.633333333000099
519,38.7500000000001,10.833333332999999
520,40.0000000000001,11.7500000000001
521,39.6000000000001,11.4166666670001
522,39.15,14.3000000000001
523,39.7,11.033333333
524,26.166666667000104,14.5000000000001
527,38.65,15.1
528,40.0000000000001,10.833333332999999
529,39.083333333,15.2
531,38.8000000000001,15.533333333
532,39.45,13.533333333
537,-13.533333333,21.300000000000104
542,1.61666666700006,19.85
543,39.6166666670001,11.5500000000001
544,38.348611111,11.539166667000101
545,39.069166667,15.143611110999998
548,-13.733333333,16.4333333330001
549,-9.44083333299994,17.061944444000098
555,-12.416666667000001,18.4166666670001
560,-12.8333333329999,23.516666667
563,-13.183333333,23.133333333000103
564,-11.05,28.466666667
565,1.3833333330000501,19.883333333000103
566,1.4500000000000501,19.6
567,37.316666667,16.3000000000001
568,29.15,13.0000000000001
570,38.083333333,18.216666667000002
571,37.8666666670001,18.250000000000103
574,-10.4999999999999,21.0469444440001
576,-11.85,24.9833333330001
577,-12.216666667,23.216666667
579,20.954166667,15.969444444
580,39.527777778,12.6
581,38.776388889,14.8527777780001
582,38.9241666670001,15.266666667
583,39.2500000000001,13.5000000000001
585,8.79944444400007,18.582222222000002
586,8.65611111100003,18.056111111000103
588,8.65000000000003,18.533333332999998
590,-11.815555555999902,17.815555556
591,39.1666666670001,14.333333332999999
592,39.283333333,14.383333333000099
595,39.4291666670001,13.9775000000001
596,39.5500000000001,14.1666666670001
597,39.1666666670001,13.833333332999999
598,39.6666666670001,12.333333332999999
601,39.0000000000001,15.15
602,39.268055556,14.096666667000001
603,38.083333333,16.1833333330001
604,39.1666666670001,14.083333332999999
605,38.833333333,14.633333333000099
607,38.4166666670001,17.9166666670001
608,39.3833333330001,14.1833333330001
609,39.766666666999996,12.5000000000001
610,39.4,12.966666667
612,23.466666667,15.4166666670001
613,23.3000000000001,15.1833333330001
617,38.95,15.6666666670001
619,-14.3333333329999,19.9166666670001
620,-9.99999999999994,18.500000000000103
630,-13.9,18.85
631,-13.866666666999901,18.95
632,-11.666666667000001,26.7405555560001
633,2.41666666700007,18.333333333
634,-2.72999999999996,34.4800000000001
636,-8.99999999999994,29.0000000000001
639,-15.267777778,24.380555555999997
640,23.655833333,13.0422222220001
641,23.512777778,12.928333333000099
642,23.333333333000002,12.716666667
643,23.583333333000002,12.633333333000099
644,39.45,15.6097222220001
645,39.2,15.8000000000001
647,39.086111111,15.4469444440001
648,39.233333333000104,15.9833333330001
649,38.4,17.8666666670001
651,36.398888889,15.455833333
653,38.1333333330001,17.750000000000103
654,39.3833333330001,15.5000000000001
655,39.3500000000001,14.4833333330001
660,36.233333333000104,18.3666666670001
661,39.8500000000001,15.436111111000098
663,40.5000000000001,13.6666666670001
664,39.316666667,13.9
665,-12.2499999999999,23.2
667,-12.2499999999999,23.2500000000001
668,-12.216666667,23.2500000000001
669,9.016666667000038,18.583333333
670,-12.6999999999999,13.2
672,21.585833333000004,17.193055555999997
673,21.833333333000002,14.4166666670001
675,22.087222221999998,13.8747222220001
676,20.4833333330001,15.221944444000002
678,4.16666666700007,18.1666666670001
679,25.0000000000001,15.383333333000099
680,24.333333333000002,15.1666666670001
681,24.216666667,15.15
683,37.9,18.316666667
685,35.5500000000001,17.833333333
686,23.0500000000001,15.1
687,23.45,15.4333333330001
688,23.4833333330001,15.266666667
691,28.933333333000103,14.85
692,28.7500000000001,16.083333333
693,33.7,17.333333333
694,34.4,17.316666667
695,39.2,15.7
705,37.9333333330001,18.283333332999998
706,39.2,15.052777778000099
708,38.823611111,14.4952777780001
709,38.818333333000105,14.3580555560001
710,38.2500000000001,18.250000000000103
711,38.3500000000001,17.883333333000103
712,-9.99999999999994,19.000000000000103
713,1.5000000000000602,19.500000000000103
714,32.583333333,15.95
716,34.1000000000001,16.216666667000002
720,32.483333333000104,15.583333332999999
721,24.5000000000001,15.5000000000001
722,24.833888889,14.698055556
723,23.716666667,15.35
724,25.383333333000103,15.333333332999999
725,24.366666667000104,15.583333332999999
726,32.9166666670001,16.5500000000001
728,-10.6333333329999,18.583333333
729,-11.4,24.65
732,39.316666667,15.6
733,39.233333333000104,15.7333333330001
734,38.6816666670001,16.1827777780001
735,38.4166666670001,17.783333332999998
736,2.53333333300003,18.383333333000103
740,38.983333333000104,15.133333333000099
743,-12.4,23.183333333000103
744,1.5000000000000602,19.883333333000103
745,1.4166666670000703,19.8666666670001
746,1.4500000000000501,19.883333333000103
748,3.0000000000000604,20.000000000000103
749,6.0000000000000595,20.000000000000103
756,-12.766666667,22.7
759,39.583333333,14.1833333330001
761,38.5000000000001,16.0000000000001
762,38.2500000000001,16.5000000000001
769,-11.5833333329999,18.033333332999998
773,39.483333333000104,14.6166666670001
774,39.148333333000004,15.037222222
776,38.7986111110001,15.256944444000098
778,38.3666666670001,11.85
779,39.594166666999996,13.790833333
781,7.350000000000019,19.45
782,7.283333333000031,19.4166666670001
783,40.7500000000001,20.1666666670001
784,5.08333333300004,18.4
791,-11.7499999999999,25.2333333330001
793,-0.16667,28.216666667
794,38.7,15.033333333
796,39.333333333,15.7333333330001
797,7.268055556000039,18.519722222000002
798,6.33333333300004,18.1666666670001
801,-10.15,17.1333333330001
802,-7.4999999999999405,16.533333332999998
804,36.8666666670001,18.7333333330001
806,35.783333333,20.466666667000002
809,7.850000000000019,17.1666666670001
812,37.7,18.316666667
814,22.566666667,13.5500000000001
817,26.133333333000103,15.6166666670001
818,26.166666667000104,15.65
820,5.2480555560000495,14.458055556
821,-7.92749999999995,16.2458333330001
824,15.439444444000099,14.455555555999998
825,4.46666666700003,31.5000000000001
826,42.583333333,21.2
827,43.774166666999996,26.3019444440001
829,42.9166666670001,24.7333333330001
834,36.766666666999996,18.6
837,36.833333333,18.766666667
838,36.766666666999996,18.766666667
841,36.4166666670001,19.050000000000104
842,36.7,19.6
844,36.533333333,18.95
845,30.5000000000001,14.5000000000001
846,31.2500000000001,13.7502777780001
847,29.0000000000001,13.0000000000001
848,-6.23333333299996,15.3000000000001
850,-9.29999999999995,16.3833333330001
852,0.9890000000000001,20.26
856,7.5000000000000595,18.7
857,9.133333333000051,18.750000000000103
861,0.85,19.966666667000002
862,0.58333,19.4166666670001
863,0.9333299999999999,19.833333333
866,38.333333333,15.5000000000001
870,-11.5666666669999,24.2
871,6.45000000000005,17.833333333
874,42.5000000000001,12.1666666670001
878,-0.409444399999927,15.816388889000098
879,7.5666666670000495,18.633333333000103
880,-13.6,16.1333333330001
881,-13.366666666999901,16.216666667000002
882,-1.63333333299994,16.1666666670001
884,-11.533333333,24.666666667000104
885,2.70000000000005,19.633333333000103
886,-10.166666667000001,16.3833333330001
887,-4.688055555999941,13.9269444440001
889,-12.966666667,22.916666667000104
891,-9.433333332999949,16.283333332999998
892,-9.76666666699998,16.7
894,-9.366666666999949,15.5000000000001
895,9.83333333300004,17.683333333000103
900,-3.26083333299994,15.719166667
902,-3.73777777799995,16.2366666670001
903,-10.583333332999901,21.583333333000002
904,-7.66666666699996,14.953333333
905,-11.3833333329999,14.216666667
906,-4.5999999999999694,16.35
909,7.4166666670000705,17.7
910,8.10000000000002,19.6666666670001
912,7.883333333000049,17.933333333000103
915,4.7800000000000304,16.143888889
916,4.78416666700002,15.6225000000001
917,9.133333333000051,19.1666666670001
925,10.698055556,15.119722222000101
926,7.883333333000049,19.133333333000103
928,7.86666666700006,15.8000000000001
929,7.844444444000031,17.023888889000002
930,7.758333333000049,17.391666667
931,7.61333333300007,17.781111110999998
935,9.00000000000006,13.7
936,9.516666667000038,14.1666666670001
937,9.216666667000029,14.3000000000001
938,9.28333333300003,14.6666666670001
939,8.366666667000061,14.2
940,7.7500000000000595,19.050000000000104
941,6.9166666670000705,13.533333333
942,9.30000000000007,18.216666667000002
943,9.28333333300003,18.833333333
946,12.608888889000099,13.315555556
952,7.83333333300004,17.933333333000103
954,6.33333333300004,15.5000000000001
955,7.0000000000000595,16.0000000000001
956,7.80000000000007,15.8666666670001
959,12.3075000000001,21.015
961,39.1000000000001,14.766666667
962,25.518888889,29.202777778
963,27.2333333330001,31.366666667000104
965,39.4166666670001,14.833333332999999
968,39.016666666999996,15.15
969,39.3000000000001,15.633333333000099
970,28.7500000000001,30.5000000000001
972,21.2,16.6166666670001
973,28.8000000000001,22.5000000000001
975,21.85,15.8000000000001
976,21.8000000000001,15.833333332999999
977,22.893055556,16.028333333
978,22.883333333000103,16.0000000000001
979,21.183333333000103,16.583333333
981,21.15,18.9
982,27.666666667000104,26.5000000000001
983,36.5000000000001,22.166666667000104
984,36.2500000000001,22.033333333
987,20.816666667,13.816666667
988,20.750000000000103,13.65
989,20.764722222,13.921666667000101
991,21.4166666670001,13.6666666670001
992,36.5500000000001,22.083333333000002
993,36.583333333,22.333333333000002
994,19.683333333000103,13.3000000000001
995,19.383333333000103,13.266666667
996,19.4,31.3500000000001
997,36.083333333,22.0000000000001
998,36.583333333,22.083333333000002
1000,38.91,15.289722222
1001,38.9261111110001,15.3655555560001
1002,38.8666666670001,15.15
1003,38.879722222000105,15.367500000000101
1005,18.500000000000103,10.1166666670001
1006,15.0000000000001,11.0000000000001
1007,39.3000000000001,15.6666666670001
1008,39.1166666670001,15.6666666670001
1009,38.733333333000104,15.4333333330001
1010,38.65,15.3000000000001
1013,38.8000000000001,17.583333333
1014,22.0000000000001,17.2500000000001
1015,15.0000000000001,13.0000000000001
1016,42.1666666670001,12.0000000000001
1017,39.066666667,16.0000000000001
1018,38.833333333,15.833333332999999
1022,39.233333333000104,15.566666667
1023,38.8638888890001,15.151388889000001
1025,42.3500000000001,11.1
1026,38.4166666670001,15.6666666670001
1028,39.1000000000001,15.833333332999999
1030,38.8500000000001,15.2500000000001
1031,38.4166666670001,15.4
1033,7.8166666670000495,17.933333333000103
1034,9.28333333300003,18.9166666670001
1036,-12.99,15.4
1037,-9.91666666699996,16.0500000000001
1040,20.883333333000103,15.883333333000099
1041,20.766666667,15.85
1042,20.759166667,15.832222222
1043,15.1,14.016666667
1044,15.45,13.6666666670001
1045,15.316944444000098,14.1216666670001
1046,15.216666667,14.283333333
1047,21.1666666670001,12.8666666670001
1053,-5.06666666699994,12.316666667
1055,-15.016666667,17.333333333
1056,-14.4999999999999,17.583333333
1057,-14.666666667000001,17.15
1058,-8.28333333299997,14.7333333330001
1059,-8.28333333299997,15.3666666670001
1060,-9.366666666999949,14.9166666670001
1062,-7.45555555599998,14.8077777780001
1064,-4.16388888899996,15.928888889000099
1072,-4.16666666699996,16.0000000000001
1074,-10.571111110999901,15.078611110999999
1075,-4.15444444399998,14.530277778
1076,-7.473611110999969,13.783333333
1077,-6.228055555999959,14.783055555999999
1078,-9.49999999999994,14.2
1079,-11.8333333329999,15.1
1082,-15.116666666999901,17.9166666670001
1083,-15.212222222000001,16.971388889
1086,10.2333333330001,15.2
1087,-10.866666666999901,14.583333332999999
1088,-10.533333333,15.266666667
1089,-10.903888889000001,14.53
1090,-10.9499999999999,14.583333332999999
1091,-11.266666667,14.316666667
1092,-10.216111111,13.636111110999998
1097,-10.483333333,15.316666667
1098,0.6333300000000001,16.2
1099,-3.01666666699992,16.766666667
1100,-0.8333299999999999,16.15
1102,-7.26666666699998,16.1166666670001
1103,-11.8166666669999,15.4
1104,-11.1908333329999,16.132777778
1106,-12.4499999999999,16.3833333330001
1107,-9.26222222199993,16.6666666670001
1108,-8.88666666699993,16.6666666670001
1109,-8.18333333299995,16.2458333330001
1110,-7.741666666999951,16.4116666670001
1111,-10.8,25.266666667
1112,-11.8,25.683333333000103
1115,-14.266666667,19.7333333330001
1116,-15.8333333329999,17.966666667000002
1118,-5.94999999999993,15.533333333
1119,-8.865833332999962,16.2458333330001
1120,-7.649444443999929,16.2458333330001
1121,-8.40888888899997,16.2458333330001
1122,-8.163055555999959,15.740833333000099
1123,-9.46666666699997,16.450555555999998
1124,-7.79999999999995,15.8000000000001
1125,-9.41666666699996,16.316666667
1127,-10.6999999999999,16.45
1131,-15.55,16.566666667
1132,1.86333333300007,19.6041666670001
1133,-9.302499999999949,16.316666667
1134,-9.41666666699996,15.904444444000001
1135,-12.266666667,17.883333333000103
1137,-12.3333333329999,17.9166666670001
1138,-14.3,17.2333333330001
1140,-9.233333332999962,16.1666666670001
1142,-9.14999999999998,16.3000000000001
1144,-9.43833333299995,16.5577777780001
1145,-7.710555555999969,16.4241666670001
1146,-12.3833333329999,17.9166666670001
1147,-12.366666666999901,18.266666667
1148,-1.9261111109999498,16.598055556000098
1149,-2.9499999999999305,16.066666667
1150,-11.783333333,14.586944444
1151,-8.74999999999994,16.533333332999998
1152,-8.96666666699997,16.65
1153,-9.33333333299993,17.083333333
1156,-9.99999999999994,19.500000000000103
1157,-10.183333333,18.833333333
1160,-12.3299999999999,17.8808333330001
1161,0.53333,17.95
1162,4.20000000000005,17.533333332999998
1171,-14.8833333329999,17.4166666670001
1172,-14.216666667,17.5500000000001
1173,-14.6333333329999,17.566666667
1174,-14.666666667000001,17.4166666670001
1178,1.7500000000000602,18.466666667000002
1180,-14.5833333329999,17.3666666670001
1182,-14.05,17.750000000000103
1183,-14.049444444,17.750000000000103
1185,-14.4999999999999,17.4333333330001
1187,-14.616666666999901,17.2
1188,-15.016666667,17.283333332999998
1189,-15.9999999999999,17.0000000000001
1190,-12.933333333,12.016666667
1192,38.8000000000001,15.283333333
1194,-15.345555555999999,12.599444444000001
1195,-16.466666667000002,12.3000000000001
1196,-16.6,12.283333333
1197,-16.433333333,12.266666667
1198,-16.0833333329999,12.3666666670001
1199,-16.216666667000002,12.1
1200,-16.233333333,12.1166666670001
1202,18.750000000000103,12.833333332999999
1204,20.883333333000103,14.3666666670001
1206,22.083333333000002,14.516666667
1208,21.966666667,13.583333332999999
1212,15.7916666670001,14.7241666670001
1214,21.009166667,14.454166667
1215,20.9272222220001,14.546666667000101
1216,22.0000000000001,14.2500000000001
1217,15.8197222220001,13.4205555560001
1218,18.1166666670001,18.1166666670001
1219,15.316666667,14.1166666670001
1220,20.6666666670001,15.016666667
1227,35.8833333330001,17.5500000000001
1228,36.033333333,17.1
1229,37.6666666670001,18.4833333330001
1242,37.7,18.4
1243,37.816666667,16.5000000000001
1249,36.483333333000104,18.1166666670001
1250,36.2500000000001,18.033333332999998
1251,36.1000000000001,18.183333333000103
1253,37.766666666999996,18.633333333000103
1255,36.7,18.566666667
1256,36.8833333330001,18.433333333000103
1258,37.083333333,20.783333332999998
1259,36.716666667,20.9166666670001
1263,3.4250000000000695,36.138611110999996
1264,7.2580555560000395,36.083055556
1265,38.965833333,15.052777778000099
1266,42.5436111110001,11.7930555560001
1269,29.0000000000001,25.0000000000001
1270,39.081666667,15.326666667000001
1272,37.95,15.583333332999999
1274,39.066666667,15.883333333000099
1276,28.95,28.2500000000001
1277,39.3500000000001,15.35
1278,-15.266666667,13.566666667
1279,-14.658333333,13.4166666670001
1280,-14.85,13.566666667
1281,-15.016666667,13.6166666670001
1282,-15.0666666669999,13.6166666670001
1283,-14.9,13.466666667
1284,-14.666666667000001,13.4
1285,-15.283333333,13.5000000000001
1286,-15.0666666669999,13.566666667
1287,-15.116666666999901,13.6166666670001
1288,-15.033333333,13.533333333
1290,-15.516666667,13.5500000000001
1293,-15.466666667,13.333333332999999
1294,-14.9999999999999,13.783333333
